iso3c,country,region,income,year,population,overall_score,Pillar,Pillar_Score
DNK,Denmark,Europe & Central Asia,High income,2023,5946952,95.25583333333334,Data Use (Pillar 1),100.0
FIN,Finland,Europe & Central Asia,High income,2023,5584264,95.11541666666668,Data Use (Pillar 1),100.0
POL,Poland,Europe & Central Asia,High income,2023,36685849,94.65375,Data Use (Pillar 1),100.0
SWE,Sweden,Europe & Central Asia,High income,2023,10536632,94.41,Data Use (Pillar 1),100.0
ESP,Spain,Europe & Central Asia,High income,2023,48373336,94.325,Data Use (Pillar 1),100.0
NLD,Netherlands,Europe & Central Asia,High income,2023,17879488,94.3225,Data Use (Pillar 1),100.0
SVN,Slovenia,Europe & Central Asia,High income,2023,2120937,94.22041666666668,Data Use (Pillar 1),100.0
PRT,Portugal,Europe & Central Asia,High income,2023,10525347,93.77833333333332,Data Use (Pillar 1),100.0
ITA,Italy,Europe & Central Asia,High income,2023,58761146,93.63875000000002,Data Use (Pillar 1),100.0
NOR,Norway,Europe & Central Asia,High income,2023,5519594,93.55666666666669,Data Use (Pillar 1),100.0
CAN,Canada,North America,High income,2023,40097761,93.46166666666666,Data Use (Pillar 1),100.0
USA,United States,North America,High income,2023,334914895,93.43041666666667,Data Use (Pillar 1),100.0
FRA,France,Europe & Central Asia,High income,2023,68170228,92.82958333333332,Data Use (Pillar 1),100.0
EST,Estonia,Europe & Central Asia,High income,2023,1366188,92.79458333333332,Data Use (Pillar 1),100.0
AUT,Austria,Europe & Central Asia,High income,2023,9132383,92.64666666666668,Data Use (Pillar 1),100.0
DEU,Germany,Europe & Central Asia,High income,2023,84482267,92.47083333333336,Data Use (Pillar 1),100.0
HUN,Hungary,Europe & Central Asia,High income,2023,9589872,92.22125,Data Use (Pillar 1),100.0
MEX,Mexico,Latin America & Caribbean,Upper middle income,2023,128455567,91.63833333333336,Data Use (Pillar 1),100.0
LTU,Lithuania,Europe & Central Asia,High income,2023,2871897,91.48083333333336,Data Use (Pillar 1),90.0
KOR,"Korea, Rep.",East Asia & Pacific,High income,2023,51712619,91.4525,Data Use (Pillar 1),100.0
LVA,Latvia,Europe & Central Asia,High income,2023,1881750,91.42708333333334,Data Use (Pillar 1),100.0
NZL,New Zealand,East Asia & Pacific,High income,2023,5223100,91.30958333333336,Data Use (Pillar 1),100.0
CZE,Czechia,Europe & Central Asia,High income,2023,10873689,91.04125,Data Use (Pillar 1),100.0
JPN,Japan,East Asia & Pacific,High income,2023,124516650,90.94375,Data Use (Pillar 1),100.0
AUS,Australia,East Asia & Pacific,High income,2023,26638544,90.86625,Data Use (Pillar 1),90.0
GRC,Greece,Europe & Central Asia,High income,2023,10361295,90.57541666666668,Data Use (Pillar 1),100.0
BEL,Belgium,Europe & Central Asia,High income,2023,11822592,90.49291666666667,Data Use (Pillar 1),100.0
CHE,Switzerland,Europe & Central Asia,High income,2023,8849852,90.2925,Data Use (Pillar 1),100.0
SVK,Slovak Republic,Europe & Central Asia,High income,2023,5426740,89.76833333333335,Data Use (Pillar 1),90.0
IRL,Ireland,Europe & Central Asia,High income,2023,5262382,89.41625000000002,Data Use (Pillar 1),90.0
GEO,Georgia,Europe & Central Asia,Upper middle income,2023,3760365,89.26750000000001,Data Use (Pillar 1),100.0
LUX,Luxembourg,Europe & Central Asia,High income,2023,668606,88.94083333333333,Data Use (Pillar 1),100.0
GBR,United Kingdom,Europe & Central Asia,High income,2023,68350000,88.9025,Data Use (Pillar 1),100.0
SGP,Singapore,East Asia & Pacific,High income,2023,5917648,88.76750000000001,Data Use (Pillar 1),100.0
ROU,Romania,Europe & Central Asia,High income,2023,19056116,88.61750000000002,Data Use (Pillar 1),100.0
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,2023,5212173,88.51208333333334,Data Use (Pillar 1),100.0
BGR,Bulgaria,Europe & Central Asia,High income,2023,6430370,88.35041666666669,Data Use (Pillar 1),100.0
CYP,Cyprus,Europe & Central Asia,High income,2023,1260138,88.00208333333333,Data Use (Pillar 1),100.0
ISR,Israel,Middle East & North Africa,High income,2023,9756700,87.89041666666668,Data Use (Pillar 1),100.0
COL,Colombia,Latin America & Caribbean,Upper middle income,2023,52085168,87.27250000000001,Data Use (Pillar 1),100.0
HRV,Croatia,Europe & Central Asia,High income,2023,3853200,87.02333333333334,Data Use (Pillar 1),100.0
CHL,Chile,Latin America & Caribbean,High income,2023,19629590,86.81708333333333,Data Use (Pillar 1),100.0
TUR,Turkiye,Europe & Central Asia,Upper middle income,2023,85326000,86.67708333333334,Data Use (Pillar 1),90.0
MDA,Moldova,Europe & Central Asia,Upper middle income,2023,2486891,86.07166666666669,Data Use (Pillar 1),100.0
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2023,1811980,85.29875,Data Use (Pillar 1),100.0
PHL,Philippines,East Asia & Pacific,Lower middle income,2023,117337368,85.20375,Data Use (Pillar 1),100.0
ALB,Albania,Europe & Central Asia,Upper middle income,2023,2745972,85.07708333333335,Data Use (Pillar 1),100.0
ARM,Armenia,Europe & Central Asia,Upper middle income,2023,2777970,85.03458333333333,Data Use (Pillar 1),100.0
MLT,Malta,Middle East & North Africa,High income,2023,553214,84.8225,Data Use (Pillar 1),100.0
SRB,Serbia,Europe & Central Asia,Upper middle income,2023,6618026,84.41208333333334,Data Use (Pillar 1),100.0
MNG,Mongolia,East Asia & Pacific,Upper middle income,2023,3447157,84.03875000000001,Data Use (Pillar 1),100.0
RUS,Russian Federation,Europe & Central Asia,High income,2023,143826130,82.93583333333333,Data Use (Pillar 1),86.6
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2023,60414495,82.37250000000002,Data Use (Pillar 1),80.0
ISL,Iceland,Europe & Central Asia,High income,2023,393600,81.7425,Data Use (Pillar 1),100.0
SAU,Saudi Arabia,Middle East & North Africa,High income,2023,36947025,81.53333333333333,Data Use (Pillar 1),70.0
IDN,Indonesia,East Asia & Pacific,Upper middle income,2023,277534122,81.42333333333333,Data Use (Pillar 1),100.0
URY,Uruguay,Latin America & Caribbean,High income,2023,3423108,81.10041666666666,Data Use (Pillar 1),100.0
